DeliveryID,OrderID,DeliveryAgentID,DeliveryStatus,EstimatedTime,DeliveryAddress,DeliveryDate,CreatedDate,ModifiedDate
2023801,2023801,2,Delivered,23 minutes,99091,2023-01-02 00:23:00,2023-01-01 07:23:00,
2023802,2023802,32,Delivered,52 minutes,68462,2023-01-03 00:47:00,2023-01-01 07:47:00,
2023803,2023803,26,Delivered,11 minutes,23550,2023-01-02 19:43:00,2023-01-01 12:43:00,
2023804,2023804,36,Delivered,43 minutes,42304,2023-01-03 05:01:00,2023-01-01 08:01:00,
2023805,2023805,28,Delivered,58 minutes,22271,2023-01-02 01:40:00,2023-01-01 07:40:00,
2023806,2023806,38,Delivered,37 minutes,6863,2023-01-01 17:24:00,2023-01-01 07:24:00,
2023807,2023807,7,Delivered,43 minutes,26457,2023-01-01 11:16:00,2023-01-01 08:16:00,
2023808,2023808,5,Delivered,60 minutes,16479,2023-01-01 17:38:00,2023-01-01 09:38:00,
2023809,2023809,28,Delivered,36 minutes,5926,2023-01-03 05:19:00,2023-01-01 20:19:00,
2023810,2023810,24,Delivered,44 minutes,77493,2023-01-02 18:11:00,2023-01-01 09:11:00,
2023811,2023811,11,Delivered,38 minutes,15787,2023-01-01 23:36:00,2023-01-01 20:36:00,
2023812,2023812,8,Delivered,23 minutes,73087,2023-01-02 19:48:00,2023-01-01 08:48:00,
2023813,2023813,9,Delivered,59 minutes,88200,2023-01-02 15:47:00,2023-01-01 07:47:00,
2023814,2023814,25,Delivered,9 minutes,3549,2023-01-02 17:28:00,2023-01-01 07:28:00,
2023815,2023815,30,Delivered,53 minutes,21314,2023-01-01 23:51:00,2023-01-01 08:51:00,
2023816,2023816,24,Delivered,42 minutes,39766,2023-01-01 15:46:00,2023-01-01 07:46:00,
2023817,2023817,7,Delivered,8 minutes,17992,2023-01-03 03:26:00,2023-01-01 08:26:00,
2023818,2023818,12,Delivered,13 minutes,93179,2023-01-01 10:46:00,2023-01-01 08:46:00,
2023819,2023819,23,Delivered,11 minutes,20281,2023-01-01 21:10:00,2023-01-01 13:10:00,
2023820,2023820,15,Delivered,38 minutes,89812,2023-01-03 11:16:00,2023-01-01 14:16:00,
2023821,2023821,39,Delivered,56 minutes,90212,2023-01-02 19:34:00,2023-01-01 20:34:00,
2023822,2023822,32,Delivered,43 minutes,67017,2023-01-02 03:30:00,2023-01-01 08:30:00,
2023823,2023823,21,Delivered,21 minutes,80833,2023-01-01 18:36:00,2023-01-01 12:36:00,
2023824,2023824,31,Delivered,27 minutes,23009,2023-01-03 07:02:00,2023-01-01 13:02:00,
2023825,2023825,23,Delivered,32 minutes,2950,2023-01-02 22:48:00,2023-01-01 09:48:00,
2023826,2023826,34,Delivered,10 minutes,7881,2023-01-02 09:25:00,2023-01-01 09:25:00,
2023827,2023827,28,Delivered,31 minutes,28000,2023-01-03 01:33:00,2023-01-01 14:33:00,
2023828,2023828,9,Delivered,54 minutes,24158,2023-01-03 07:17:00,2023-01-01 09:17:00,
2023829,2023829,32,Delivered,12 minutes,3563,2023-01-03 06:18:00,2023-01-01 20:18:00,
2023830,2023830,12,Delivered,59 minutes,93629,2023-01-03 02:51:00,2023-01-01 14:51:00,
2023831,2023831,29,Delivered,13 minutes,78565,2023-01-02 03:10:00,2023-01-01 12:10:00,
2023832,2023832,16,Delivered,24 minutes,15397,2023-01-01 13:35:00,2023-01-01 07:35:00,
2023833,2023833,3,Delivered,44 minutes,28024,2023-01-01 18:18:00,2023-01-01 08:18:00,
2023834,2023834,36,Delivered,22 minutes,38641,2023-01-01 19:45:00,2023-01-01 09:45:00,
2023835,2023835,7,Delivered,49 minutes,15111,2023-01-02 03:04:00,2023-01-01 13:04:00,
2023836,2023836,33,Delivered,52 minutes,79326,2023-01-02 14:46:00,2023-01-01 07:46:00,
