OrderID,CustomerID,RestaurantID,OrderDate,TotalAmount,Status,PaymentMethod,CreatedDate,ModifiedDate
20231301,13934,1561,2023-01-01 12:27:00,2336,Delivered,Credit Card,2023-01-01 12:27:00,
20231302,87146,1765,2023-01-01 09:52:00,2589,Delivered,Credit Card,2023-01-01 09:52:00,
20231303,52357,1266,2023-01-01 09:31:00,361,Returned,UPI,2023-01-01 09:31:00,
20231304,35853,691,2023-01-01 13:16:00,1266,Delivered,Credit Card,2023-01-01 13:16:00,
20231305,92871,196,2023-01-01 20:23:00,1120,Delivered,Wallet,2023-01-01 20:23:00,
20231306,14257,1123,2023-01-01 14:15:00,166,Delivered,Credit Card,2023-01-01 14:15:00,
20231307,80956,1244,2023-01-01 12:51:00,2641,Delivered,Credit Card,2023-01-01 12:51:00,
20231308,22656,1143,2023-01-01 19:41:00,564,Delivered,Credit Card,2023-01-01 19:41:00,
20231309,20084,839,2023-01-01 07:40:00,895,Delivered,Wallet,2023-01-01 07:40:00,
20231310,23352,325,2023-01-01 09:18:00,5355,Delivered,Credit Card,2023-01-01 09:18:00,
20231311,92518,605,2023-01-01 12:04:00,7331,Delivered,Credit Card,2023-01-01 12:04:00,
20231312,592,205,2023-01-01 08:31:00,402,Delivered,UPI,2023-01-01 08:31:00,
20231313,14681,93,2023-01-01 07:35:00,3131,Delivered,Credit Card,2023-01-01 07:35:00,
20231314,73918,1249,2023-01-01 12:31:00,517,Delivered,UPI,2023-01-01 12:31:00,
20231315,39633,1035,2023-01-01 14:25:00,380,Delivered,Credit Card,2023-01-01 14:25:00,
20231316,39957,1745,2023-01-01 09:58:00,2220,Delivered,Credit Card,2023-01-01 09:58:00,
20231317,37482,1796,2023-01-01 08:24:00,1461,Delivered,Wallet,2023-01-01 08:24:00,
20231318,65235,390,2023-01-01 19:28:00,864,Delivered,UPI,2023-01-01 19:28:00,
20231319,67934,1001,2023-01-01 20:52:00,222,Delivered,Wallet,2023-01-01 20:52:00,
20231320,14373,178,2023-01-01 19:34:00,553,Delivered,Credit Card,2023-01-01 19:34:00,
20231321,70398,1428,2023-01-01 09:46:00,1321,Delivered,Wallet,2023-01-01 09:46:00,
20231322,99505,264,2023-01-01 20:35:00,108,Delivered,Credit Card,2023-01-01 20:35:00,
20231323,62044,1490,2023-01-01 07:21:00,2710,Delivered,Credit Card,2023-01-01 07:21:00,
20231324,81318,559,2023-01-01 09:14:00,1849,Delivered,Wallet,2023-01-01 09:14:00,
20231325,92611,1436,2023-01-01 09:49:00,2774,Delivered,UPI,2023-01-01 09:49:00,
20231326,55576,1546,2023-01-01 19:13:00,937,Delivered,Credit Card,2023-01-01 19:13:00,
20231327,35859,1777,2023-01-01 20:09:00,966,Delivered,Credit Card,2023-01-01 20:09:00,
20231328,37650,786,2023-01-01 09:26:00,336,Delivered,Credit Card,2023-01-01 09:26:00,
20231329,62198,348,2023-01-01 09:30:00,660,Delivered,Credit Card,2023-01-01 09:30:00,
20231330,19540,508,2023-01-01 09:27:00,6530,Delivered,Wallet,2023-01-01 09:27:00,
20231331,69536,1443,2023-01-01 14:49:00,2394,Delivered,Credit Card,2023-01-01 14:49:00,
20231332,94074,459,2023-01-01 09:57:00,4534,Delivered,Credit Card,2023-01-01 09:57:00,
20231333,95551,257,2023-01-01 09:56:00,652,Delivered,UPI,2023-01-01 09:56:00,
20231334,49562,71,2023-01-01 07:12:00,555,Delivered,Wallet,2023-01-01 07:12:00,
20231335,52765,1682,2023-01-01 14:57:00,3472,Delivered,Debit Card,2023-01-01 14:57:00,
20231336,8331,212,2023-01-01 13:00:00,4922,Delivered,Credit Card,2023-01-01 13:00:00,
20231337,43088,174,2023-01-01 08:03:00,3305,Delivered,Credit Card,2023-01-01 08:03:00,
20231338,7994,1275,2023-01-01 08:23:00,4809,Failed,Credit Card,2023-01-01 08:23:00,
20231339,45088,1706,2023-01-01 08:35:00,1796,Delivered,Credit Card,2023-01-01 08:35:00,
20231340,58377,952,2023-01-01 09:17:00,3300,Delivered,Credit Card,2023-01-01 09:17:00,
20231341,28288,1601,2023-01-01 09:00:00,1824,Delivered,Credit Card,2023-01-01 09:00:00,
20231342,78707,648,2023-01-01 14:51:00,1891,Delivered,UPI,2023-01-01 14:51:00,
20231343,2209,228,2023-01-01 13:10:00,3095,Delivered,Credit Card,2023-01-01 13:10:00,
20231344,50469,1190,2023-01-01 09:43:00,3708,Delivered,Wallet,2023-01-01 09:43:00,
20231345,51515,1125,2023-01-01 07:17:00,1026,Delivered,UPI,2023-01-01 07:17:00,
20231346,92746,1421,2023-01-01 07:56:00,4677,Delivered,UPI,2023-01-01 07:56:00,
20231347,4577,1478,2023-01-01 09:02:00,530,Delivered,UPI,2023-01-01 09:02:00,
20231348,58572,668,2023-01-01 09:37:00,5482,Delivered,Credit Card,2023-01-01 09:37:00,
20231349,83599,1479,2023-01-01 08:20:00,664,Delivered,Credit Card,2023-01-01 08:20:00,
20231350,5394,1589,2023-01-01 20:48:00,484,Delivered,Credit Card,2023-01-01 20:48:00,
20231351,52795,1209,2023-01-01 09:12:00,1881,Delivered,Credit Card,2023-01-01 09:12:00,
20231352,12376,927,2023-01-01 09:18:00,2336,Delivered,UPI,2023-01-01 09:18:00,
20231353,91136,919,2023-01-01 07:06:00,222,Delivered,Credit Card,2023-01-01 07:06:00,
20231354,87766,970,2023-01-01 12:38:00,933,Delivered,Credit Card,2023-01-01 12:38:00,
20231355,39600,1070,2023-01-01 13:45:00,819,Delivered,Credit Card,2023-01-01 13:45:00,
20231356,26900,518,2023-01-01 09:58:00,2798,Delivered,Wallet,2023-01-01 09:58:00,
20231357,1850,1630,2023-01-01 19:45:00,382,Delivered,Credit Card,2023-01-01 19:45:00,
20231358,30074,1010,2023-01-01 08:32:00,127,Delivered,Credit Card,2023-01-01 08:32:00,
20231359,33341,512,2023-01-01 08:09:00,3807,Delivered,Credit Card,2023-01-01 08:09:00,
20231360,94503,1099,2023-01-01 07:58:00,1048,Delivered,Credit Card,2023-01-01 07:58:00,
20231361,47546,1270,2023-01-01 13:46:00,708,Returned,UPI,2023-01-01 13:46:00,
20231362,37101,349,2023-01-01 07:36:00,868,Delivered,Credit Card,2023-01-01 07:36:00,
20231363,74291,172,2023-01-01 09:56:00,672,Delivered,UPI,2023-01-01 09:56:00,
20231364,9593,1122,2023-01-01 08:13:00,2275,Delivered,UPI,2023-01-01 08:13:00,
20231365,6588,123,2023-01-01 07:13:00,708,Delivered,UPI,2023-01-01 07:13:00,
20231366,25127,923,2023-01-01 09:37:00,638,Delivered,Credit Card,2023-01-01 09:37:00,
20231367,33905,1004,2023-01-01 08:09:00,3515,Delivered,Credit Card,2023-01-01 08:09:00,
20231368,2066,1416,2023-01-01 09:35:00,2953,Delivered,Credit Card,2023-01-01 09:35:00,
20231369,10280,806,2023-01-01 09:10:00,389,Delivered,Credit Card,2023-01-01 09:10:00,
20231370,58181,546,2023-01-01 07:22:00,3463,Delivered,Credit Card,2023-01-01 07:22:00,
20231371,69369,98,2023-01-01 07:25:00,694,Delivered,Credit Card,2023-01-01 07:25:00,
20231372,99825,1393,2023-01-01 07:40:00,1216,Delivered,Credit Card,2023-01-01 07:40:00,
20231373,45184,1734,2023-01-01 08:49:00,2678,Delivered,UPI,2023-01-01 08:49:00,
20231374,27538,1388,2023-01-01 13:00:00,300,Delivered,UPI,2023-01-01 13:00:00,
20231375,55378,137,2023-01-01 08:53:00,1611,Delivered,UPI,2023-01-01 08:53:00,
20231376,65372,197,2023-01-01 19:07:00,280,Delivered,CoD,2023-01-01 19:07:00,
20231377,34669,1413,2023-01-01 08:03:00,1580,Delivered,UPI,2023-01-01 08:03:00,
20231378,68447,365,2023-01-01 07:22:00,6707,Delivered,UPI,2023-01-01 07:22:00,
20231379,50718,1141,2023-01-01 08:10:00,1242,Delivered,UPI,2023-01-01 08:10:00,
