OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
2023450111241,20234501,1580,4,226,904,2023-01-03 09:45:00,
2023450111242,20234501,1581,4,160,640,2023-01-03 09:45:00,
2023450111243,20234501,1582,2,313,626,2023-01-03 09:45:00,
2023450211244,20234502,1837,3,546,1638,2023-01-03 12:01:00,
2023450311245,20234503,358,4,138,552,2023-01-03 08:33:00,
2023450311246,20234503,356,5,68,340,2023-01-03 08:33:00,
2023450311247,20234503,357,4,101,404,2023-01-03 08:33:00,
2023450411248,20234504,191,2,145,290,2023-01-03 09:06:00,
2023450411249,20234504,192,2,102,204,2023-01-03 09:06:00,
2023450511250,20234505,1703,3,333,999,2023-01-03 09:34:00,
2023450611251,20234506,4202,2,240,480,2023-01-03 12:28:00,
2023450611252,20234506,4201,1,239,239,2023-01-03 12:28:00,
2023450611253,20234506,4203,3,185,555,2023-01-03 12:28:00,
2023450611254,20234506,4200,5,189,945,2023-01-03 12:28:00,
2023450611255,20234506,4204,3,146,438,2023-01-03 12:28:00,
2023450711256,20234507,2895,1,159,159,2023-01-03 13:40:00,
2023450711257,20234507,2896,5,116,580,2023-01-03 13:40:00,
2023450811258,20234508,173,4,585,2340,2023-01-03 19:55:00,
2023450911259,20234509,2704,5,285,1425,2023-01-03 07:46:00,
2023451011260,20234510,4411,5,68,340,2023-01-03 12:30:00,
2023451011261,20234510,4408,5,64,320,2023-01-03 12:30:00,
2023451011262,20234510,4407,5,235,1175,2023-01-03 12:30:00,
2023451011263,20234510,4409,2,299,598,2023-01-03 12:30:00,
2023451111264,20234511,3315,2,360,720,2023-01-03 19:09:00,
2023451211265,20234512,4035,2,521,1042,2023-01-03 14:41:00,
2023451311266,20234513,2105,3,305,915,2023-01-03 07:05:00,
2023451311267,20234513,2106,5,455,2275,2023-01-03 07:05:00,
2023451311268,20234513,2107,3,625,1875,2023-01-03 07:05:00,
2023451411269,20234514,3309,3,385,1155,2023-01-03 07:43:00,
2023451411270,20234514,3311,1,332,332,2023-01-03 07:43:00,
2023451411271,20234514,3313,4,172,688,2023-01-03 07:43:00,
2023451411272,20234514,3310,4,265,1060,2023-01-03 07:43:00,
2023451511273,20234515,2862,1,221,221,2023-01-03 07:08:00,
2023451611274,20234516,4518,1,166,166,2023-01-03 07:25:00,
2023451711275,20234517,3366,3,604,1812,2023-01-03 09:50:00,
2023451811276,20234518,529,2,148,296,2023-01-03 09:10:00,
2023451911277,20234519,567,5,226,1130,2023-01-03 14:22:00,
2023451911278,20234519,569,5,65,325,2023-01-03 14:22:00,
2023451911279,20234519,568,4,284,1136,2023-01-03 14:22:00,
2023452011280,20234520,2606,2,230,460,2023-01-03 09:26:00,
2023452011281,20234520,2607,4,174,696,2023-01-03 09:26:00,
2023452011282,20234520,2609,2,137,274,2023-01-03 09:26:00,
2023452011283,20234520,2610,1,199,199,2023-01-03 09:26:00,
2023452011284,20234520,2608,4,186,744,2023-01-03 09:26:00,
2023452111285,20234521,2266,1,392,392,2023-01-03 09:54:00,
2023452111286,20234521,2267,3,175,525,2023-01-03 09:54:00,
2023452211287,20234522,1116,1,108,108,2023-01-03 08:55:00,
2023452311288,20234523,4361,1,152,152,2023-01-03 07:49:00,
2023452311289,20234523,4363,3,202,606,2023-01-03 07:49:00,
2023452311290,20234523,4360,5,277,1385,2023-01-03 07:49:00,
2023452311291,20234523,4359,5,343,1715,2023-01-03 07:49:00,
2023452311292,20234523,4362,2,356,712,2023-01-03 07:49:00,
2023452411293,20234524,1626,4,226,904,2023-01-03 08:14:00,
2023452411294,20234524,1627,3,249,747,2023-01-03 08:14:00,
2023452411295,20234524,1630,5,179,895,2023-01-03 08:14:00,
2023452411296,20234524,1628,4,568,2272,2023-01-03 08:14:00,
2023452411297,20234524,1629,2,181,362,2023-01-03 08:14:00,
2023452511298,20234525,1166,3,250,750,2023-01-03 07:47:00,
2023452511299,20234525,1163,2,114,228,2023-01-03 07:47:00,
2023452611300,20234526,1453,5,623,3115,2023-01-03 07:00:00,
2023452611301,20234526,1455,1,156,156,2023-01-03 07:00:00,
2023452611302,20234526,1454,3,384,1152,2023-01-03 07:00:00,
2023452611303,20234526,1456,5,216,1080,2023-01-03 07:00:00,
2023452711304,20234527,870,3,604,1812,2023-01-03 09:31:00,
2023452711305,20234527,871,3,532,1596,2023-01-03 09:31:00,
2023452811306,20234528,2435,1,282,282,2023-01-03 07:22:00,
2023452811307,20234528,2436,2,171,342,2023-01-03 07:22:00,
2023452911308,20234529,3543,2,643,1286,2023-01-03 14:34:00,
2023452911309,20234529,3544,5,547,2735,2023-01-03 14:34:00,
2023453011310,20234530,1717,1,243,243,2023-01-03 14:46:00,
2023453011311,20234530,1716,1,180,180,2023-01-03 14:46:00,
2023453111312,20234531,3966,4,214,856,2023-01-03 07:32:00,
2023453211313,20234532,3089,4,470,1880,2023-01-03 07:28:00,
2023453211314,20234532,3091,3,640,1920,2023-01-03 07:28:00,
2023453211315,20234532,3090,1,548,548,2023-01-03 07:28:00,
2023453211316,20234532,3092,3,615,1845,2023-01-03 07:28:00,
2023453211317,20234532,3088,1,555,555,2023-01-03 07:28:00,
2023453311318,20234533,236,3,295,885,2023-01-03 12:54:00,
2023453311319,20234533,238,2,111,222,2023-01-03 12:54:00,
2023453311320,20234533,237,5,610,3050,2023-01-03 12:54:00,
2023453411321,20234534,1464,3,143,429,2023-01-03 19:32:00,
2023453411322,20234534,1463,1,118,118,2023-01-03 19:32:00,
2023453411323,20234534,1462,4,133,532,2023-01-03 19:32:00,
2023453511324,20234535,2281,1,237,237,2023-01-03 12:52:00,
2023453611325,20234536,2472,3,80,240,2023-01-03 14:02:00,
2023453611326,20234536,2473,2,164,328,2023-01-03 14:02:00,
2023453611327,20234536,2470,2,246,492,2023-01-03 14:02:00,
2023453611328,20234536,2471,3,174,522,2023-01-03 14:02:00,
2023453711329,20234537,1696,4,553,2212,2023-01-03 12:21:00,
2023453711330,20234537,1698,5,675,3375,2023-01-03 12:21:00,
2023453711331,20234537,1695,2,163,326,2023-01-03 12:21:00,
2023453711332,20234537,1697,5,188,940,2023-01-03 12:21:00,
2023453711333,20234537,1699,4,693,2772,2023-01-03 12:21:00,
2023453811334,20234538,4357,5,102,510,2023-01-03 09:36:00,
2023453911335,20234539,506,5,138,690,2023-01-03 08:44:00,
2023454011336,20234540,440,1,191,191,2023-01-03 09:20:00,
2023454011337,20234540,441,1,173,173,2023-01-03 09:20:00,
2023454011338,20234540,442,1,190,190,2023-01-03 09:20:00,
2023454111339,20234541,935,1,90,90,2023-01-03 07:43:00,
2023454111340,20234541,936,4,557,2228,2023-01-03 07:43:00,
2023454211341,20234542,2688,2,192,384,2023-01-03 12:12:00,
2023454211342,20234542,2690,3,173,519,2023-01-03 12:12:00,
2023454211343,20234542,2689,1,200,200,2023-01-03 12:12:00,
2023454311344,20234543,991,3,159,477,2023-01-03 08:21:00,
2023454311345,20234543,993,1,37,37,2023-01-03 08:21:00,
2023454311346,20234543,992,3,56,168,2023-01-03 08:21:00,
2023454411347,20234544,3897,4,592,2368,2023-01-03 08:09:00,
2023454411348,20234544,3896,4,210,840,2023-01-03 08:09:00,
2023454411349,20234544,3898,5,175,875,2023-01-03 08:09:00,
2023454411350,20234544,3895,2,161,322,2023-01-03 08:09:00,
2023454411351,20234544,3894,5,186,930,2023-01-03 08:09:00,
2023454511352,20234545,1239,4,143,572,2023-01-03 08:32:00,
2023454611353,20234546,1073,1,271,271,2023-01-03 08:42:00,
2023454611354,20234546,1075,1,144,144,2023-01-03 08:42:00,
2023454711355,20234547,4132,3,186,558,2023-01-03 19:57:00,
